post_id,platform,user_id,user_name_x,created_at,text,likes,comments,shares,sentiment_label,country_x,date,hour,engagement,text_clean,hashtag_list,user_name_y,country_y,language,account_type,followers_count,verified,join_date,age_group,gender,industry
P00001,Facebook,U035,hoa.le,2025-02-22 16:06:00,    Feeling  great  today  with  #sale!  Comment  your  thoughts  @review.channel  https://tiktok.com/@brandx      ,1395,436,26,positive,UK,2025-02-22,16,1857,feeling great today with #sale! comment your thoughts @review.channel https://tiktok.com/@brandx,['#sale'],travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00074,Twitter,U035,brandX_official,2025-03-04 13:42:00,KHÁCH HÀNG NÓI GÌ VỀ BRAND X? #WINTER #TRAVEL @GAME.STREAM XEM CHI TIẾT TẠI HTTPS://EXAMPLE.COM/BLOG 😂,1132,401,205,neutral,Vietnam,2025-03-04,13,1738,khách hàng nói gì về brand x? #winter #travel @game.stream xem chi tiết tại https://example.com/blog 😂,"['#winter', '#travel']",travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00128,TikTok,U035,lan.tran,2025-01-13 11:14:00,  Big update: #noel is now available. Limited promo #sale @foodlover https://example.com/blog    😂,0,327,438,positive,Vietnam,2025-01-13,11,765,big update: #noel is now available. limited promo #sale @foodlover https://example.com/blog 😂,"['#noel', '#sale']",travel.with.me 🔥,Korea,fr,personal,4505,False,2020-10-08,18-24,male,Entertainment
P00005,Twitter,U011,chef.tasty,2025-03-26 16:10:00,check out our new campaign #tiktoktrend on twitter! thanks @review.channel for sharing the news. https://youtu.be/xyz123 😂,1870,198,293,neutral,Vietnam,2025-03-26,16,2361,check out our new campaign #tiktoktrend on twitter! thanks @review.channel for sharing the news. https://youtu.be/xyz123 😂,['#tiktoktrend'], REVIEW.CHANNEL665 ,France,fr,personal,1397,True,,45-54,other,Travel
P00141,TikTok,U011,movie_buff,2025-01-03 08:30:00,  BIG UPDATE: #TIKTOKTREND IS NOW AVAILABLE. LIMITED PROMO #HOTTREND @JOHN.SMITH HTTPS://TIKTOK.COM/@BRANDX   ,0,220,0,negative,UK,2025-01-03,8,220,big update: #tiktoktrend is now available. limited promo #hottrend @john.smith https://tiktok.com/@brandx,"['#tiktoktrend', '#hottrend']", REVIEW.CHANNEL665 ,France,fr,personal,1397,True,,45-54,other,Travel
P00006,Twitter,U076,hoa.le,2025-03-22 19:00:00,Bạn đã thử sản phẩm mới chưa? #vlog @daily.vlog Review ngay tại https://tiktok.com/@brandx,244,327,147,negative,Germany,2025-03-22,19,718,bạn đã thử sản phẩm mới chưa? #vlog @daily.vlog review ngay tại https://tiktok.com/@brandx,['#vlog'],game.stream830,Thailand,ko,personal,4643,False,,45-54,male,Education
P00240,TikTok,U076,tech.guru,2025-02-23 04:04:00,LIVE STREAM ON TIKTOK TONIGHT! #SALE #WINTER JOIN US @HOA.LE HTTPS://BRANDX.COM,1978,666,502,negative,Thailand,2025-02-23,4,3146,live stream on tiktok tonight! #sale #winter join us @hoa.le https://brandx.com,"['#sale', '#winter']",game.stream830,Thailand,ko,personal,4643,False,,45-54,male,Education
P00010,Facebook,U021,lifeoflinh,2025-01-10 06:55:00,TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #SUMMER @FOODLOVER MORE INFO: HTTPS://BRANDX.COM 👍,234,0,265,positive,UK,2025-01-10,6,499,top 5 tips for better results with brand x #summer @foodlover more info: https://brandx.com 👍,['#summer'],MOVIE_BUFF,Japan,fr,brand,66958,True,,25-34,other,Sports
P00265,TikTok,U021,game.stream,2025-02-17 05:10:00,  Top 5 tips for better results with Brand X #sale @game.stream More info: https://youtu.be/xyz123    👍,603,71,230,positive,Germany,2025-02-17,5,904,top 5 tips for better results with brand x #sale @game.stream more info: https://youtu.be/xyz123 👍,['#sale'],MOVIE_BUFF,Japan,fr,brand,66958,True,,25-34,other,Sports
P00012,Facebook,U045,ngoc.trinh,2025-03-27 22:19:00,  FEELING GREAT TODAY WITH #BLACKFRIDAY! COMMENT YOUR THOUGHTS @BRANDX_OFFICIAL HTTPS://TIKTOK.COM/@BRANDX    ❤️,2116,263,284,positive,Japan,2025-03-27,22,2663,feeling great today with #blackfriday! comment your thoughts @brandx_official https://tiktok.com/@brandx ❤️,['#blackfriday'], FOOTBALL_FEVER279 ,Japan,ko,personal,3142,False,,18-24,male,Sports
P00456,YouTube,U045,daily.vlog,2025-01-31 22:20:00,  CHECK OUT OUR NEW CAMPAIGN #BRANDX ON YOUTUBE! THANKS @LIFEOFLINH FOR SHARING THE NEWS. HTTP://BIT.LY/DEAL   ,2253,499,303,neutral,Thailand,2025-01-31,22,3055,check out our new campaign #brandx on youtube! thanks @lifeoflinh for sharing the news. http://bit.ly/deal,['#brandx'], FOOTBALL_FEVER279 ,Japan,ko,personal,3142,False,,18-24,male,Sports
P00016,YouTube,U078,chef.tasty,2025-02-14 06:37:00,FEELING GREAT TODAY WITH #NEWPRODUCT! COMMENT YOUR THOUGHTS @MOVIE_BUFF HTTPS://YOUTU.BE/XYZ123,3456,323,0,positive,Korea,2025-02-14,6,3779,feeling great today with #newproduct! comment your thoughts @movie_buff https://youtu.be/xyz123,['#newproduct'], daily.vlog ,France,fr,personal,1129,False,,25-34,other,Travel
P00038,TikTok,U017,hoa.le,2025-01-24 01:17:00,Check  out  our  new  campaign  #blackfriday  on  TikTok!  Thanks  @daily.vlog  for  sharing  the  news.  http://bit.ly/deal  👍,205,124,0,positive,Japan,2025-01-24,1,329,check out our new campaign #blackfriday on tiktok! thanks @daily.vlog for sharing the news. http://bit.ly/deal 👍,['#blackfriday'], CHEF.TASTY777  🔥,Thailand,en,personal,275,False,,45-54,male,Education
P00238,Facebook,U017,music_fan,2025-01-10 07:12:00,BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #SUMMER @DAILY.VLOG REVIEW NGAY TẠI HTTP://BIT.LY/DEAL 😀,512,141,121,positive,Germany,2025-01-10,7,774,bạn đã thử sản phẩm mới chưa? #summer @daily.vlog review ngay tại http://bit.ly/deal 😀,['#summer'], CHEF.TASTY777  🔥,Thailand,en,personal,275,False,,45-54,male,Education
P00040,Facebook,U020,brandX_official,2025-03-27 09:35:00,  Khách hàng nói gì về Brand X? #music #promo @ngoc.trinh Xem chi tiết tại https://tiktok.com/@brandx    😂,1641,291,367,negative,Korea,2025-03-27,9,2299,khách hàng nói gì về brand x? #music #promo @ngoc.trinh xem chi tiết tại https://tiktok.com/@brandx 😂,"['#music', '#promo']", hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00175,YouTube,U020,ngoc.trinh,2025-02-21 19:48:00,    Bạn  đã  thử  sản  phẩm  mới  chưa?  #vlog  @john.smith  Review  ngay  tại  https://tiktok.com/@brandx        💥,4137,0,557,negative,Korea,2025-02-21,19,4694,bạn đã thử sản phẩm mới chưa? #vlog @john.smith review ngay tại https://tiktok.com/@brandx 💥,['#vlog'], hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00180,Twitter,U020,chef.tasty,2025-02-25 00:53:00,TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #PROMO @MUSIC_FAN MORE INFO: HTTPS://YOUTU.BE/XYZ123 😂,0,0,195,negative,UK,2025-02-25,0,195,top 5 tips for better results with brand x #promo @music_fan more info: https://youtu.be/xyz123 😂,['#promo'], hoa.le165  ⭐,Vietnam,th,personal,4828,True,,,female,Technology  😀
P00053,YouTube,U054,daily.vlog,2025-03-05 10:51:00,  FEELING GREAT TODAY WITH #FOOTBALL! COMMENT YOUR THOUGHTS @MOVIE_BUFF HTTPS://EXAMPLE.COM/BLOG   ,3407,754,500,positive,Vietnam,2025-03-05,10,4661,feeling great today with #football! comment your thoughts @movie_buff https://example.com/blog,['#football'], john.smith343 ,Thailand,en,personal,1461,True,,35-44,female,Food & Beverage
P00446,Twitter,U054,game.stream,2025-03-06 08:00:00,Bạn đã thử sản phẩm mới chưa? #giveaway @hoa.le Review ngay tại http://bit.ly/deal ❤️,0,262,341,positive,Thailand,2025-03-06,8,603,bạn đã thử sản phẩm mới chưa? #giveaway @hoa.le review ngay tại http://bit.ly/deal ❤️,['#giveaway'], john.smith343 ,Thailand,en,personal,1461,True,,35-44,female,Food & Beverage
P00070,TikTok,U062,movie_buff,2025-02-17 11:14:00,Bạn đã thử sản phẩm mới chưa? #vlog @tech.guru Review ngay tại https://tiktok.com/@brandx,0,105,0,neutral,UK,2025-02-17,11,105,bạn đã thử sản phẩm mới chưa? #vlog @tech.guru review ngay tại https://tiktok.com/@brandx,['#vlog'], movie_buff ,Vietnam,ja,personal,0,True,2022-02-24,18-24,other,Entertainment
P00288,YouTube,U062,foodlover,2025-03-02 01:40:00,  KHÁCH HÀNG NÓI GÌ VỀ BRAND X? #WINTER #HOTTREND @MINH.NGUYEN XEM CHI TIẾT TẠI HTTPS://TIKTOK.COM/@BRANDX   ,1365,361,561,neutral,USA,2025-03-02,1,2287,khách hàng nói gì về brand x? #winter #hottrend @minh.nguyen xem chi tiết tại https://tiktok.com/@brandx,"['#winter', '#hottrend']", movie_buff ,Vietnam,ja,personal,0,True,2022-02-24,18-24,other,Entertainment
P00075,TikTok,U073,lifeoflinh,2025-02-04 06:42:00,  LIVE STREAM ON TIKTOK TONIGHT! #TIKTOKTREND #SUMMER JOIN US @HOA.LE HTTPS://EXAMPLE.COM/BLOG   ,0,664,309,negative,UK,2025-02-04,6,973,live stream on tiktok tonight! #tiktoktrend #summer join us @hoa.le https://example.com/blog,"['#tiktoktrend', '#summer']", NGOC.TRINH458 ,Thailand,ko,personal,1462,False,2020-10-09,18-24,other,Entertainment
P00256,Instagram,U073,john.smith,2025-02-11 17:46:00,    live  stream  on  instagram  tonight!  #tiktoktrend  #vlog  join  us  @review.channel  https://youtu.be/xyz123        😂,695,408,147,neutral,Korea,2025-02-11,17,1250,live stream on instagram tonight! #tiktoktrend #vlog join us @review.channel https://youtu.be/xyz123 😂,"['#tiktoktrend', '#vlog']", NGOC.TRINH458 ,Thailand,ko,personal,1462,False,2020-10-09,18-24,other,Entertainment
P00490,Instagram,U073,john.smith,2025-03-23 18:15:00,  Bạn đã thử sản phẩm mới chưa? #travel @tech.guru Review ngay tại https://brandx.com    🔥,838,37,0,negative,Korea,2025-03-23,18,875,bạn đã thử sản phẩm mới chưa? #travel @tech.guru review ngay tại https://brandx.com 🔥,['#travel'], NGOC.TRINH458 ,Thailand,ko,personal,1462,False,2020-10-09,18-24,other,Entertainment
P00077,TikTok,U006,movie_buff,2025-01-17 14:14:00,  BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #BRANDX @HOA.LE REVIEW NGAY TẠI HTTPS://TIKTOK.COM/@BRANDX   ,4139,491,0,neutral,UK,2025-01-17,14,4630,bạn đã thử sản phẩm mới chưa? #brandx @hoa.le review ngay tại https://tiktok.com/@brandx,['#brandx'], travel.with.me  ⭐,UK,th,influencer,0,False,,25-34,male,Entertainment
P00080,Facebook,U079,ngoc.trinh,2025-01-09 06:48:00,    big  update:  #brandx  is  now  available.  limited  promo  #backtoschool  @lan.tran  https://tiktok.com/@brandx        😀,1388,335,54,positive,USA,2025-01-09,6,1777,big update: #brandx is now available. limited promo #backtoschool @lan.tran https://tiktok.com/@brandx 😀,"['#brandx', '#backtoschool']", minh.nguyen ,Germany,en,personal,2680,True,,18-24,male,Entertainment
P00083,Instagram,U051,chef.tasty,2025-03-24 14:13:00,  KHÁCH HÀNG NÓI GÌ VỀ BRAND X? #TIKTOKTREND #BRANDX @TRAVEL.WITH.ME XEM CHI TIẾT TẠI HTTPS://EXAMPLE.COM/BLOG    💥,520,134,126,positive,Japan,2025-03-24,14,780,khách hàng nói gì về brand x? #tiktoktrend #brandx @travel.with.me xem chi tiết tại https://example.com/blog 💥,"['#tiktoktrend', '#brandx']", brandX_official ,Thailand,th,media,0,False,,,other,Finance
P00250,Twitter,U051,travel.with.me,2025-01-24 19:27:00,  bạn đã thử sản phẩm mới chưa? #giveaway @game.stream review ngay tại http://bit.ly/deal    💥,0,200,0,negative,Thailand,2025-01-24,19,200,bạn đã thử sản phẩm mới chưa? #giveaway @game.stream review ngay tại http://bit.ly/deal 💥,['#giveaway'], brandX_official ,Thailand,th,media,0,False,,,other,Finance
P00095,Twitter,U029,ngoc.trinh,2025-02-10 10:05:00,  Khách hàng nói gì về Brand X? #giveaway #music @ngoc.trinh Xem chi tiết tại https://youtu.be/xyz123    👍,0,0,165,neutral,Japan,2025-02-10,10,165,khách hàng nói gì về brand x? #giveaway #music @ngoc.trinh xem chi tiết tại https://youtu.be/xyz123 👍,"['#giveaway', '#music']",foodlover787,Germany,ja,personal,4226,False,2024-08-10,25-34,female,Retail
P00163,YouTube,U029,john.smith,2025-02-05 22:17:00,  LIVE STREAM ON YOUTUBE TONIGHT! #WINTER #FOOD JOIN US @FOOTBALL_FEVER HTTP://BIT.LY/DEAL   ,1336,620,265,positive,Germany,2025-02-05,22,2221,live stream on youtube tonight! #winter #food join us @football_fever http://bit.ly/deal,"['#winter', '#food']",foodlover787,Germany,ja,personal,4226,False,2024-08-10,25-34,female,Retail
P00165,Twitter,U029,chef.tasty,2025-01-21 08:32:00,BẠN  ĐÃ  THỬ  SẢN  PHẨM  MỚI  CHƯA?  #SUMMER  @FOODLOVER  REVIEW  NGAY  TẠI  HTTPS://EXAMPLE.COM/BLOG,0,120,126,neutral,Germany,2025-01-21,8,246,bạn đã thử sản phẩm mới chưa? #summer @foodlover review ngay tại https://example.com/blog,['#summer'],foodlover787,Germany,ja,personal,4226,False,2024-08-10,25-34,female,Retail
P00391,YouTube,U029,brandX_official,2025-02-18 03:37:00,  top 5 tips for better results with brand x #hottrend @football_fever more info: https://example.com/blog   ,1251,307,215,positive,UK,2025-02-18,3,1773,top 5 tips for better results with brand x #hottrend @football_fever more info: https://example.com/blog,['#hottrend'],foodlover787,Germany,ja,personal,4226,False,2024-08-10,25-34,female,Retail
P00098,YouTube,U007,game.stream,2025-02-20 19:27:00,  big update: #sale is now available. limited promo #food @foodlover http://bit.ly/deal   ,0,220,0,positive,USA,2025-02-20,19,220,big update: #sale is now available. limited promo #food @foodlover http://bit.ly/deal,"['#sale', '#food']",NEWS.TODAY,UK,vi,personal,245,True,,25-34,other,Travel
P00374,TikTok,U007,john.smith,2025-01-29 23:25:00,  khách hàng nói gì về brand x? #blackfriday #noel @tech.guru xem chi tiết tại https://brandx.com   ,603,569,31,neutral,Germany,2025-01-29,23,1203,khách hàng nói gì về brand x? #blackfriday #noel @tech.guru xem chi tiết tại https://brandx.com,"['#blackfriday', '#noel']",NEWS.TODAY,UK,vi,personal,245,True,,25-34,other,Travel
P00452,TikTok,U007,sara.kim,2025-03-01 05:14:00,BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #NOEL @FOOTBALL_FEVER REVIEW NGAY TẠI HTTP://BIT.LY/DEAL,4554,710,456,negative,Korea,2025-03-01,5,5720,bạn đã thử sản phẩm mới chưa? #noel @football_fever review ngay tại http://bit.ly/deal,['#noel'],NEWS.TODAY,UK,vi,personal,245,True,,25-34,other,Travel
P00101,Facebook,U031,ngoc.trinh,2025-01-29 08:54:00,big update: #sale is now available. limited promo #backtoschool @music_fan https://example.com/blog 😂,2352,32,99,neutral,Germany,2025-01-29,8,2483,big update: #sale is now available. limited promo #backtoschool @music_fan https://example.com/blog 😂,"['#sale', '#backtoschool']",football_fever204,Thailand,th,personal,4183,False,,35-44,male,Technology
P00110,Instagram,U074,brandX_official,2025-02-10 01:10:00,Feeling  great  today  with  #hottrend!  Comment  your  thoughts  @review.channel  https://brandx.com,1176,145,199,positive,Vietnam,2025-02-10,1,1520,feeling great today with #hottrend! comment your thoughts @review.channel https://brandx.com,['#hottrend'], brandX_official949 ,Germany,de,influencer,0,True,,35-44,female,Retail
P00339,Instagram,U074,sara.kim,2025-03-25 04:58:00,  FEELING GREAT TODAY WITH #HOTTREND! COMMENT YOUR THOUGHTS @SARA.KIM HTTPS://EXAMPLE.COM/BLOG    👍,1545,152,134,positive,Thailand,2025-03-25,4,1831,feeling great today with #hottrend! comment your thoughts @sara.kim https://example.com/blog 👍,['#hottrend'], brandX_official949 ,Germany,de,influencer,0,True,,35-44,female,Retail
P00112,Instagram,U070,lifeoflinh,2025-02-05 03:11:00,  KHÁCH HÀNG NÓI GÌ VỀ BRAND X? #FOOTBALL #MUSIC @NGOC.TRINH XEM CHI TIẾT TẠI HTTPS://YOUTU.BE/XYZ123    😂,79,86,138,positive,Korea,2025-02-05,3,303,khách hàng nói gì về brand x? #football #music @ngoc.trinh xem chi tiết tại https://youtu.be/xyz123 😂,"['#football', '#music']",minh.nguyen,USA,en,personal,1281,False,2020-10-26,45-54,other,Food & Beverage
P00236,Instagram,U070,music_fan,2025-03-25 22:51:00,  CHECK OUT OUR NEW CAMPAIGN #BRANDX ON INSTAGRAM! THANKS @NGOC.TRINH FOR SHARING THE NEWS. HTTPS://BRANDX.COM    🔥,1277,207,0,negative,Korea,2025-03-25,22,1484,check out our new campaign #brandx on instagram! thanks @ngoc.trinh for sharing the news. https://brandx.com 🔥,['#brandx'],minh.nguyen,USA,en,personal,1281,False,2020-10-26,45-54,other,Food & Beverage
P00296,Twitter,U070,tech.guru,2025-02-28 23:48:00,Top  5  tips  for  better  results  with  Brand  X  #vlog  @john.smith  More  info:  https://youtu.be/xyz123  ❤️,1502,0,196,negative,Germany,2025-02-28,23,1698,top 5 tips for better results with brand x #vlog @john.smith more info: https://youtu.be/xyz123 ❤️,['#vlog'],minh.nguyen,USA,en,personal,1281,False,2020-10-26,45-54,other,Food & Beverage
P00416,Facebook,U070,foodlover,2025-03-09 11:24:00,  BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #FOOD @DAILY.VLOG REVIEW NGAY TẠI HTTPS://YOUTU.BE/XYZ123   ,1481,0,119,positive,Thailand,2025-03-09,11,1600,bạn đã thử sản phẩm mới chưa? #food @daily.vlog review ngay tại https://youtu.be/xyz123,['#food'],minh.nguyen,USA,en,personal,1281,False,2020-10-26,45-54,other,Food & Beverage
P00436,Facebook,U070,game.stream,2025-03-31 15:52:00,  Live stream on Facebook tonight! #promo #winter Join us @ngoc.trinh https://brandx.com    😂,2405,137,387,neutral,USA,2025-03-31,15,2929,live stream on facebook tonight! #promo #winter join us @ngoc.trinh https://brandx.com 😂,"['#promo', '#winter']",minh.nguyen,USA,en,personal,1281,False,2020-10-26,45-54,other,Food & Beverage
P00116,Twitter,U069,music_fan,2025-03-05 10:17:00,Big update: #food is now available. Limited promo #newproduct @john.smith https://example.com/blog,1463,73,344,neutral,Thailand,2025-03-05,10,1880,big update: #food is now available. limited promo #newproduct @john.smith https://example.com/blog,"['#food', '#newproduct']", deal.hunter ,France,fr,personal,4189,True,,18-24,male,Finance 🔥
P00122,YouTube,U055,movie_buff,2025-03-06 14:24:00,  check out our new campaign #tiktoktrend on youtube! thanks @sara.kim for sharing the news. http://bit.ly/deal   ,0,771,390,neutral,Korea,2025-03-06,14,1161,check out our new campaign #tiktoktrend on youtube! thanks @sara.kim for sharing the news. http://bit.ly/deal,['#tiktoktrend'], tech.guru730  ❤️,USA,en,media,188270,False,,25-34,other,Education
P00231,Facebook,U055,chef.tasty,2025-03-21 17:33:00,  BẠN ĐÃ THỬ SẢN PHẨM MỚI CHƯA? #TIKTOKTREND @LIFEOFLINH REVIEW NGAY TẠI HTTPS://BRANDX.COM    ❤️,1303,0,326,negative,Germany,2025-03-21,17,1629,bạn đã thử sản phẩm mới chưa? #tiktoktrend @lifeoflinh review ngay tại https://brandx.com ❤️,['#tiktoktrend'], tech.guru730  ❤️,USA,en,media,188270,False,,25-34,other,Education
P00251,TikTok,U055,music_fan,2025-03-09 18:59:00,    BIG  UPDATE:  #VLOG  IS  NOW  AVAILABLE.  LIMITED  PROMO  #FOOD  @GAME.STREAM  HTTPS://EXAMPLE.COM/BLOG        ❤️,0,0,143,positive,USA,2025-03-09,18,143,big update: #vlog is now available. limited promo #food @game.stream https://example.com/blog ❤️,"['#vlog', '#food']", tech.guru730  ❤️,USA,en,media,188270,False,,25-34,other,Education
P00347,Facebook,U055,review.channel,2025-02-17 03:44:00,big update: #winter is now available. limited promo #giveaway @tech.guru http://bit.ly/deal,106,492,344,negative,Vietnam,2025-02-17,3,942,big update: #winter is now available. limited promo #giveaway @tech.guru http://bit.ly/deal,"['#winter', '#giveaway']", tech.guru730  ❤️,USA,en,media,188270,False,,25-34,other,Education
P00125,Twitter,U026,hoa.le,2025-01-29 06:35:00,  TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #TIKTOKTREND @LAN.TRAN MORE INFO: HTTPS://YOUTU.BE/XYZ123    💥,755,229,170,positive,Korea,2025-01-29,6,1154,top 5 tips for better results with brand x #tiktoktrend @lan.tran more info: https://youtu.be/xyz123 💥,['#tiktoktrend'], DEAL.HUNTER937 ,Vietnam,fr,influencer,287869,False,,35-44,female,Entertainment
P00138,TikTok,U026,brandX_official,2025-03-19 03:01:00,  Top 5 tips for better results with Brand X #winter @john.smith More info: https://tiktok.com/@brandx   ,3916,726,280,negative,Vietnam,2025-03-19,3,4922,top 5 tips for better results with brand x #winter @john.smith more info: https://tiktok.com/@brandx,['#winter'], DEAL.HUNTER937 ,Vietnam,fr,influencer,287869,False,,35-44,female,Entertainment
P00310,Twitter,U026,chef.tasty,2025-03-16 23:27:00,  feeling great today with #newproduct! comment your thoughts @brandx_official https://brandx.com   ,2055,398,290,neutral,Germany,2025-03-16,23,2743,feeling great today with #newproduct! comment your thoughts @brandx_official https://brandx.com,['#newproduct'], DEAL.HUNTER937 ,Vietnam,fr,influencer,287869,False,,35-44,female,Entertainment
P00139,Instagram,U042,john.smith,2025-02-04 03:55:00,  BIG UPDATE: #WINTER IS NOW AVAILABLE. LIMITED PROMO #FOOD @MOVIE_BUFF HTTPS://BRANDX.COM   ,1060,32,282,neutral,UK,2025-02-04,3,1374,big update: #winter is now available. limited promo #food @movie_buff https://brandx.com,"['#winter', '#food']",daily.vlog1,UK,ko,personal,4437,False,2021-06-12,,male,Travel
P00159,YouTube,U042,lifeoflinh,2025-02-01 21:51:00,  TOP 5 TIPS FOR BETTER RESULTS WITH BRAND X #SUMMER @TECH.GURU MORE INFO: HTTPS://BRANDX.COM   ,88,328,543,negative,Vietnam,2025-02-01,21,959,top 5 tips for better results with brand x #summer @tech.guru more info: https://brandx.com,['#summer'],daily.vlog1,UK,ko,personal,4437,False,2021-06-12,,male,Travel
P00202,Facebook,U042,music_fan,2025-03-09 19:57:00,  Feeling great today with #summer! Comment your thoughts @football_fever https://youtu.be/xyz123   ,0,0,142,positive,Vietnam,2025-03-09,19,142,feeling great today with #summer! comment your thoughts @football_fever https://youtu.be/xyz123,['#summer'],daily.vlog1,UK,ko,personal,4437,False,2021-06-12,,male,Travel
